2023-2843-2023-7-1-d643-k0ah,adelaide,/en/scores/stats-centre/archive/2023/2843/ms001,03:09:08,189,d643,311,7,4,62,99,53,62,25,37,1,2,17,112,17,76,26,53,2,7,17,78,99,43,129,121,228,k0ah,279,15,4,76,129,59,76,27,53,5,7,17,103,9,62,12,37,1,2,17,86,129,21,99,107,228
2023-2843-2023-6-2-d643-mm58,adelaide,/en/scores/stats-centre/archive/2023/2843/ms002,01:30:14,90,d643,301,5,3,35,61,31,35,14,26,3,3,10,162,8,31,8,17,2,3,9,45,61,16,48,61,109,mm58,271,5,2,31,48,23,31,9,17,1,3,9,58,4,35,12,26,0,3,10,32,48,16,61,48,109
2023-2843-2023-6-1-k0ah-n732,adelaide,/en/scores/stats-centre/archive/2023/2843/ms003,01:14:02,74,k0ah,312,9,0,23,40,21,23,10,17,0,0,6,124,11,40,8,14,1,4,7,31,40,19,54,50,94,n732,275,0,0,40,54,29,40,6,14,3,4,7,50,2,23,7,17,0,0,6,35,54,9,40,44,94
2023-2843-2023-5-4-d643-su55,adelaide,/en/scores/stats-centre/archive/2023/2843/ms004,01:55:22,115,d643,278,4,3,40,70,31,40,16,30,3,4,10,164,13,38,20,34,3,8,9,47,70,33,72,80,142,su55,226,6,7,38,72,25,38,14,34,5,8,9,104,9,40,14,30,1,4,10,39,72,23,70,62,142
2023-2843-2023-5-3-mm58-ke29,adelaide,/en/scores/stats-centre/archive/2023/2843/ms005,01:17:46,77,mm58,281,6,5,33,51,29,33,7,18,2,3,9,209,17,42,12,18,4,7,9,36,51,29,60,65,111,ke29,218,1,2,42,60,25,42,6,18,3,7,9,118,4,33,11,18,1,3,9,31,60,15,51,46,111
2023-2843-2023-5-2-k0ah-s0ag,adelaide,/en/scores/stats-centre/archive/2023/2843/ms006,01:26:07,86,k0ah,286,5,1,30,52,25,30,12,22,3,4,9,206,11,34,13,19,5,9,10,37,52,24,53,61,105,s0ag,216,8,3,34,53,23,34,6,19,4,9,10,98,5,30,10,22,1,4,9,29,53,15,52,44,105
2023-2843-2023-5-1-n732-p09z,adelaide,/en/scores/stats-centre/archive/2023/2843/ms007,02:46:18,166,n732,296,2,1,75,106,57,75,19,31,2,4,16,148,12,68,23,35,4,10,16,76,106,35,103,111,209,p09z,265,27,4,68,103,56,68,12,35,6,10,16,125,18,75,12,31,2,4,16,68,103,30,106,98,209
2023-2843-2023-4-8-d643-hb64,adelaide,/en/scores/stats-centre/archive/2023/2843/ms008,01:55:51,115,d643,302,10,4,50,76,44,50,14,26,0,1,12,100,9,48,18,34,1,5,12,58,76,27,82,85,158,hb64,283,11,2,48,82,39,48,16,34,4,5,12,166,6,50,12,26,1,1,12,55,82,18,76,73,158
2023-2843-2023-4-7-mm58-ki95,adelaide,/en/scores/stats-centre/archive/2023/2843/ms010,01:07:35,67,mm58,307,7,3,38,51,29,38,7,13,1,1,8,218,18,31,5,11,4,7,7,36,51,23,42,59,93,ki95,213,0,0,31,42,13,31,6,11,3,7,7,70,9,38,6,13,0,1,8,19,42,15,51,34,93
2023-2843-2023-4-6-s0ag-kd46,adelaide,/en/scores/stats-centre/archive/2023/2843/ms012,02:02:38,122,s0ag,296,5,2,58,78,40,58,12,20,6,7,11,163,12,45,14,27,2,3,11,52,78,26,72,78,150,kd46,269,9,3,45,72,33,45,13,27,1,3,11,94,18,58,8,20,1,7,11,46,72,26,78,72,150
2023-2843-2023-4-5-su55-sx50,adelaide,/en/scores/stats-centre/archive/2023/2843/ms009,01:21:51,81,su55,301,7,2,25,44,21,25,13,19,0,1,9,168,16,45,14,25,4,11,10,34,44,30,70,64,114,sx50,233,3,3,45,70,29,45,11,25,7,11,10,159,4,25,6,19,1,1,9,40,70,10,44,50,114
2023-2843-2023-4-4-ke29-d0co,adelaide,/en/scores/stats-centre/archive/2023/2843/ms011,01:31:35,91,ke29,323,7,1,39,53,32,39,9,14,1,1,9,156,16,36,14,31,3,9,9,41,53,30,67,71,120,d0co,232,6,3,36,67,20,36,17,31,6,9,9,54,7,39,5,14,0,1,9,37,67,12,53,49,120
2023-2843-2023-4-3-k0ah-bd06,adelaide,/en/scores/stats-centre/archive/2023/2843/ms013,01:13:16,73,k0ah,321,12,0,41,57,33,41,10,16,2,2,10,186,6,26,9,21,2,2,10,43,57,15,47,58,104,bd06,270,5,3,26,47,20,26,12,21,0,2,10,57,8,41,6,16,0,2,10,32,47,14,57,46,104
2023-2843-2023-4-2-n732-mk66,adelaide,/en/scores/stats-centre/archive/2023/2843/ms014,01:35:40,95,n732,300,0,2,49,72,29,49,17,23,4,4,9,195,10,36,13,21,3,4,10,46,72,23,57,69,129,mk66,244,3,2,36,57,26,36,8,21,1,4,10,67,20,49,6,23,0,4,9,34,57,26,72,60,129
